,slang,formal
6967,bgt,banget
6968,gingsungny,gingsulnya
6969,sma,sama
6970,kyk,kayak
6971,blh,boleh
6972,ga,enggak
6973,bgt,banget
6974,cariin,carikan
6975,gini,begini
6976,bgt,banget
6977,yg,yang
6978,gak,enggak
6979,kenceng,kencang
6980,yg,yang
6981,cuanti,cantik
6982,kyk,kayak
6983,q,aku
6984,kmu,kamu
6985,mbanya,mbaknya
6986,hy,hai
6987,ka,kak
6988,q,ku
6989,lh,boleh
6990,knlan,kenalan
6991,g,enggak
6992,bgt,banget
6993,donk,dong
6994,udh,sudah
6995,aja,saja
6996,jngn,jangan
6997,indo,indonesia
6998,indo,indonesia
6999,jg,juga
7000,ga,enggak
7001,gw,gue
7002,liat,lihat
7003,ky,kaya
7004,mbaakk,mbak
7005,emg,memang
7006,yg,yang
7007,pnting,penting
7008,mrka,mereka
7009,gk,enggak
7010,nyusahhin,menyusahkan
7011,kmu,kamu
7012,gk,enggak
7013,mnta,minta
7014,byaran,bayaran
7015,mrka,mereka
7016,pnya,punya
7017,wlawpun,walaupun
7018,bnyak,banyak
7019,yg,yang
7020,sedangkn,sedangkan
7021,hnya,hanya
7022,tnpa,tanpa
7023,kmu,kamu
7024,pnya,punya
7025,yg,yang
7026,d,di
7027,bnggain,banggakan
7028,smpe,sampai
7029,sperti,seperti
7030,emng,memang
7031,kmu,kamu
7032,yg,yang
7033,mrka,mereka
7034,yg,yang
7035,kmu,kamu
7036,omongin,omongkan
7037,nyusahin,menyusahkan
7038,emg,memang
7039,yg,yang
7040,nyusahin,menyusahkan
7041,cmn,cuman
7042,malu2in,malu-malui
7043,indo,indonesia
7044,aja,saja
7045,emg,memang
7046,gak,enggak
7047,blm,belum
7048,dibanggain,dibanggakan
7049,tpi,tapi
7050,sma,sama
7051,wlau,walau
7052,tpi,tapi
7053,emg,memang
7054,komenan,komentar
7055,yg,yang
7056,kmu,kamu
7057,"bangga""in",membangga-banggakan
7058,tpi,tapi
7059,krya,karya
7060,kmu,kamu
7061,"bilang""",bilang-bilang
7062,tinggall,tinggal
7063,dmna,dimana
7064,bgt,banget
7065,ngebales,membalas
7066,dripda,daripada
7067,emg,memang
7068,gk,enggak
7069,bangga2in,membangga-banggakan
7070,emg,memang
7071,klo,kalo
7072,yg,yang
7073,dibnggain,dibanggakan
7074,cmn,cuman
7075,kyk,kayak
7076,gitu,begitu
7077,aja,saja
7078,wlaupun,walaupun
7079,dgn,dengan
7080,yg,yang
7081,kyk,kayak
7082,ank,anak
7083,jgn,jangan
7084,krn,karena
7085,org,orang
7086,tpi,tapi
7087,sma,sama
7088,karya2,karya-karya
7089,yg,yang
7090,gk,enggak
7091,ank,anak
7092,gk,enggak
7093,dgn,dengan
7094,karya2,karya-karya
7095,emg,memang
7096,gk,enggak
7097,sma,sama
7098,sma,sama
7099,gimana,bagaimana
7100,kyk,kayak
7101,yg,yang
7102,trs,terus
7103,drimana,darimana
7104,udh,sudah
7105,yg,yang
7106,dehh,deh
7107,jgn,jangan
7108,yaa,ya
7109,udh,sudah
7110,klo,kalo
7111,yg,yang
7112,tpi,tapi
7113,ngapain,mengapai
7114,udh,sudah
7115,gni,begini
7116,gk,enggak
7117,ank,anak
7118,dri,dari
7119,gk,enggak
7120,slh,salah
7121,trs,terus
7122,mreka,mereka
7123,jdi,jadi
7124,ngepake',memakai
7125,gksalah,enggak salah
7126,gak,enggak
7127,gk,enggak
7128,nuntut,menuntut
7129,ngebiarin,membiarkan
7130,org,orang
7131,yg,yang
7132,krn,karena
7133,spy,supaya
7134,mreka,mereka
7135,yg,yang
7136,lgi,lagi
7137,bhas,bahas
7138,tdi,tadi
7139,dri,dari
7140,ngeluarin,mengeluarkan
7141,kasian,kasihan
7142,elo,lo
7143,komenan,komentar
7144,elo,lo
7145,komenan,komentar
7146,ngatain,mengatai
7147,komenan,komentar
7148,org,orang
7149,tpi,tapi
7150,gk,enggak
7151,komenan,komentar
7152,kyk,kayak
7153,gimana,bagaimana
7154,jg,juga
7155,lagu'y,lagunya
7156,yak,ya
7157,lagu2nya,lagu-lagunya
7158,kakk,kak
7159,ka,kak
7160,jadiin,jadikan
7161,bgt,banget
7162,yak,ya
7163,guaa,gua
7164,bgt,banget
7165,kaa,kak
7166,omongin,omongkan
7167,gak,enggak
7168,diem,diam
7169,ajah,saja
7170,gausah,enggak usah
7171,nyampah,menyampah
7172,klo,kalo
7173,gw,gue
7174,"mba""",mbak-mbak
7175,donk,dong
7176,gausah,enggak usah
7177,ajah,saja
7178,jgn,jangan
7179,dh,deh
7180,bukan'a,bukannya
7181,mba,mbak
7182,tappi,tapi
7183,mang,memang
7184,dahh,dah
7185,cantikk,cantik
7186,kalli,kali
7187,mba,mbak
7188,jngn,jangan
7189,ka,kak
7190,aja,saja
7191,sm,sama
7192,gk,enggak
7193,pacara,pacaran
7194,jga,juga
7195,kalli,kali
7196,maen,main
7197,nuduh,menuduh
7198,"ngerebut""",merebut-rebut
7199,aja,saja
7200,lluu,lu
7201,mbaa,mbak
7202,gk,enggak
7203,ngerussak,merusak
7204,mreka,mereka
7205,"bela""in",membela-bela
7206,bellain,membela
7207,aja,saja
7208,jngn,jangan
7209,pke,pakai
7210,ka,kak
7211,donk,dong
7212,kallo,kalo
7213,coment,komen
7214,yg,yang
7215,dewassa,dewasa
7216,mba,mbak
7217,jngn,jangan
7218,aja,saja
7219,kallo,kalo
7220,comnet,komen
7221,gk,enggak
7222,"pikir""",pikir-pikir
7223,dlu,dulu
7224,pke,pakai
7225,bangetttt,banget
7226,kaya'a,kayanya
7227,aja,saja
7228,kuyyy,yuk
7229,kitaa,kita
7230,ap,apa
7231,makasih,terima kasih
7232,yh,ya
7233,uda,sudah
7234,ngaca,mengaca
7235,jg,juga
7236,ga,enggak
7237,gitu2,begitu-gitu
7238,org,orang
7239,gimana,bagaimana
7240,aja,saja
7241,knpa,kenapa
7242,mba,mbak
7243,mba,mbak
7244,d,di
7245,d,di
7246,smpe,sampai
7247,sgtu'y,sebegitunya
7248,ngebelain,membela
7249,tpii,tapi
7250,"karya""",karya-karya
7251,do,di
7252,cali,caci
7253,kya,kaya
7254,mba,mbak
7255,penghrgaan,penghargaan
7256,ajjh,saja
7257,sihh,sih
7258,buktiin,buktikan
7259,mba,mbak
7260,klau,kalau
7261,mba,mbak
7262,lbihh,lebih
7263,baikk,baik
7264,drii,dari
7265,"artist""",artis-artis
7266,yg,yang
7267,mba,mbak
7268,"maki""",maki-maki
7269,jngn,jangan
7270,komentarin,mengomentari
7271,orng,orang
7272,sendirinnya,sendirinya
7273,gk,enggak
7274,stidaknya,setidaknya
7275,mrka,mereka
7276,may,mau
7277,yg,yang
7278,trbaikk,terbaik
7279,bkan,bukan
7280,kmauan,kemauan
7281,mrka,mereka
7282,tpi,tapi
7283,mrka,mereka
7284,punn,pun
7285,mengikutii,mengikuti
7286,atassan,atasan
7287,mrka,mereka
7288,klauu,kalau
7289,jngnn,jangan
7290,so,sok
7291,orng,orang
7292,kya,kaya
7293,gtu,begitu
7294,kya,kaya
7295,sendirinyya,sendirinya
7296,frestasiii,prestasi
7297,ajjh,saja
7298,knp,kenapa
7299,mst,mesti
7300,add,ada
7301,see,sih
7302,sibukx,sibuknya
7303,in,ini
7304,yaa,ya
7305,katanyaa,katanya
7306,lawaaaas,lawas
7307,ngakak,mengakak
7308,ni,ini
7309,beneran,benaran
7310,ni,nih
7311,yg,yang
7312,nonton,menonton
7313,emg,memang
7314,ngapain,mengapa
7315,d,di
7316,lucuuu,lucu
7317,g,enggak
7318,ad,ada
7319,kocaaaak,kocak
7320,kek,kayak
7321,smg,semoga
7322,slalu,selalu
7323,tmbh,tambah
7324,syng,sayang
7325,sm,sama
7326,sm,sama
7327,jagain,jaga
7328,adenya,adeknya
7329,pkoknyaa,pokoknya
7330,bwt,buat
7331,yg,yang
7332,smoga,semoga
7333,yaa,ya
7334,dateng,datang
7335,donk,dong
7336,smoga,semoga
7337,dsana,disana
7338,yaaa,ya
7339,yg,yang
7340,suksess,sukses
7341,slalu,selalu
7342,ortu,orang tua
7343,yg,yang
7344,amiin,amin
7345,ortu,orang tua
7346,smoga,semoga
7347,cita2,cita-cita
7348,dua2nya,dua-duanya
7349,bangett,banget
7350,sichhhhhhhhhh,sih
7351,diapain,diapakan
7352,gk,enggak
7353,yh,ya
7354,nampak,menampak
7355,yak,ya
7356,ndak,indak
7357,tetehh,teteh
7358,tehhh,teh
7359,tehhhh,teh
7360,gak,enggak
7361,udah,sudah
7362,pake,pakai
7363,sampe,sampai
7364,udah,sudah
7365,gak,enggak
7366,dapetin,mendapati
7367,padet,padat
7368,ga,enggak
7369,buktiin,buktikan
7370,bener,benar
7371,bener,benar
7372,gak,enggak
7373,nyangka,menyangka
7374,bgt,banget
7375,nambah,menambah
7376,makasih,terima kasih
7377,ga,enggak
7378,nyangka,menyangka
7379,gak,enggak
7380,aja,saja
7381,yuuk,yuk
7382,dgn,dengan
7383,yg,yang
7384,dgn,dengan
7385,makasih,terima kasih
7386,buktiin,membuktikan
7387,bener2,benar-benar
7388,kepoin,kepoi
7389,aja,saja
7390,wooowww,wow
7391,wooowww,wow
7392,saranin,sarankan
7393,ga,enggak
7394,pake,pakai
7395,ilang,hilang
7396,ga,enggak
7397,cobain,coba
7398,pake,pakai
7399,ngerasain,merasai
7400,emng,memang
7401,bener,benar
7402,pake,pakai
7403,makasih,terima kasih
7404,kpn,kapan
7405,yach,ya
7406,bs,bisa
7407,ma,sama
7408,mbk,mbak
7409,muga,moga
7410,sllu,selalu
7411,dpt,dapat
7412,yg,yang
7413,slm,salam
7414,aj,saja
7415,dr,dari
7416,aq,aku
7417,mbk,mbak
7418,yach,ya
7419,makasih,terima kasih
7420,udh,sudah
7421,kenalin,mengenalkan
7422,jd,jadi
7423,gak,enggak
7424,jd,jadi
7425,pede,percaya diri
7426,skrng,sekarang
7427,mksh,terima kasih
7428,yg,yang
7429,bener2,benar-benar
7430,udah,sudah
7431,rekomendasiin,merekomendasikan
7432,ga,enggak
7433,pengen,pengin
7434,janka,jangka
7435,kepoin,mengepoi
7436,ajaa,saja
7437,belanjaa,belanja
7438,disiniii,disini
7439,ko,kok
7440,skrg,sekarang
7441,wawwwww,wow
7442,waaaww,wow
7443,waaawwww,wow
7444,mantapp,mantap
7445,bangetttt,banget
7446,cobaaa,coba
7447,gak,enggak
7448,nyesel,menyesal
7449,dehhh,deh
7450,pake,pakai
7451,model2,model-model
7452,makasih,terima kasih
7453,udah,sudah
7454,seneng,senang
7455,udah,sudah
7456,seneng,senang
7457,udah,sudah
7458,udah,sudah
7459,kenceng,kencang
7460,gak,enggak
7461,nyangka,menyangka
7462,kageet,kaget
7463,makasi,terima kasih
7464,say,sayang
7465,awal2,awal-awal
7466,ga,enggak
7467,setabil,stabil
7468,temen2,teman-teman
7469,nyoba,mencoba
7470,ihh,ih
7471,beneran,benaran
7472,setabil,stabil
7473,ga,enggak
7474,temen2,teman-teman
7475,makasih,terima kasih
7476,yah,ya
7477,ga,enggak
7478,yg,yang
7479,pake,pakai
7480,bgt,banget
7481,gak,enggak
7482,bangettttttt,banget
7483,seneng,senang
7484,liat,lihat
7485,mauu,mau
7486,ngtain,mengatai
7487,org,orang
7488,kya,kaya
7489,g,enggak
7490,aja,saja
7491,gak,enggak
7492,oplas,operasi plastik
7493,gak,enggak
7494,keliatan,kelihatan
7495,nambahh,bertambah
7496,paripurnahh,paripurna
7497,wanitah,wanita
7498,indonesiaah,indonesia
7499,bet,banget
7500,udh,sudah
7501,iyaa,iya
7502,cumn,cuman
7503,kasi,kasih
7504,aja,saja
7505,sm,sama
7506,klo,kalo
7507,liat,lihat
7508,gegra,gegara
7509,kmrin,kemarin
7510,brita,berita
7511,klo,kalo
7512,diliat,dilihat
7513,wihhh,wih
7514,pengen,pengin
7515,bgt,banget
7516,klo,kalo
7517,ktmu,ketemu
7518,sma,sama
7519,org,orang
7520,yg,yang
7521,ka,kak
7522,baper,bawa perasaan
7523,fotbar,foto bareng
7524,aja,saja
7525,gapernah,enggak pernah
7526,fotbar,foto bareng
7527,ama,sama
7528,jg,juga
7529,ngatain,mengatai
7530,wajarrr,wajar
7531,dikata2in,dikata-katai
7532,sampek,sampai
7533,gak,enggak
7534,yg,yang
7535,liat,lihat
7536,liat,lihat
7537,ny,nya
7538,aja,saja
7539,liat,lihat
7540,skg,sekarang
7541,sngt,sangat
7542,tdk,tidak
7543,pdhl,padahal
7544,dl,dulu
7545,wk,waktu
7546,sm,sama
7547,skg,sekarang
7548,ky,kaya
7549,bingiittt,banget
7550,sm,sama
7551,dr,dari
7552,aja,saja
7553,sudh,sudah
7554,tp,tapi
7555,klu,kalau
7556,dr,dari
7557,nampar,menampar
7558,tukan,tukang
7559,jatoh,jatuh
7560,gk,enggak
7561,dr,dari
7562,ko,kok
7563,gtu,begitu
7564,ga,enggak
7565,org,orang
7566,gk,enggak
7567,"muka""",muka-muka
7568,dr,dari
7569,dh,dah
7570,jlek,jelek
7571,sma,sama
7572,ky,kaya
7573,ga,enggak
7574,ga,enggak
7575,cantik2nya,cantik-cantiknya
7576,ngk,enggak
7577,pda,pada
7578,sdgkn,sedangkan
7579,jgk,juga
7580,ngk,enggak
7581,"apa""",apa-apa
7582,kn,kan
7583,mancungin,memancungkan
7584,idung,hidung
7585,kusem,kusam
7586,lbh,lebih
7587,drpada,daripada
7588,yg,yang
7589,org,orang
7590,lahh,lah
7591,dri,dari
7592,gtu,begitu
7593,kmar,kamar
7594,diemm,diam
7595,tnggu,tunggu
7596,lohh,loh
7597,dteng,datang
7598,nihhh,nih
7599,guee,gue
7600,ketawain,mentertawakan
7601,lohh,lo
7602,krna,karena
7603,yaelahhh,alah
7604,gausah,enggak usah
7605,drpd,daripada
7606,ngaca,mengaca
7607,"sikap""",sikap-sikap
7608,udah,sudah
7609,bener,benar
7610,sampe,sampai
7611,ngehujat,menghujat
7612,bgt,banget
7613,komenan,komentar
7614,drpd,daripada
7615,pengen,pengin
7616,bales,balas
7617,ngehina,menghina
7618,yah,ya
7619,ga,enggak
7620,ampuun,ampun
7621,ngehina,menghina
7622,sampe,sampai
7623,ngejatuhin,manjatuhkan
7624,ga,enggak
7625,klo,kalo
7626,ga,enggak
7627,ngelakuin,melakukan
7628,dapet,dapat
7629,ngehina,menghina
7630,ga,enggak
7631,gedeg,gedek
7632,ama,sama
7633,muka2,muka-muka
7634,ngaca,mengaca
7635,ngatain,mengatai
7636,eey,eh
7637,emang,memang
7638,nggk,enggak
7639,prnh,pernah
7640,kslahan,kesalahan
7641,aja,saja
7642,yg,yang
7643,koment,komentar
7644,ga,enggak
7645,bener,benar
7646,ngata2in,mengatai-ngatai
7647,gak,enggak
7648,liat,lihat
7649,org,orang
7650,gak,enggak
7651,gak,enggak
7652,bener,benar
7653,klo,kalo
7654,gak,enggak
7655,yg,yang
7656,udah,sudah
7657,aja,saja
7658,gak,enggak
7659,mmg,memang
7660,ga,enggak
7661,baik2,baik-baik
7662,silahkan,silakan
7663,mba,mbak
7664,mba,mbak
7665,gak,enggak
7666,perhatiam,perhatian
7667,sm,sama
7668,aj,saja
7669,dri,dari
7670,pd,pada
7671,jg,juga
7672,ttp,tetap
7673,yg,yang
7674,smpe,sampai
7675,ttp,tetap
7676,sm,sama
7677,yah,ya
7678,emang,memang
7679,digituin,dibegitukan
7680,dibiarin,dibiarkan
7681,aja,saja
7682,sich,sih
7683,aq,aku
7684,yg,yang
7685,gk,enggak
7686,pny,punya
7687,ank,anak
7688,aja,saja
7689,org,orang
7690,gk,enggak
7691,yg,yang
7692,sbnrny,sebenarnya
7693,trjd,terjadi
7694,dlm,dalam
7695,mrk,mereka
7696,gk,enggak
7697,mkir,memikir
7698,bhw,bahwa
7699,gk,enggak
7700,mgkn,mungkin
7701,hny,hanya
7702,slah,salah
7703,yg,yang
7704,slah,salah
7705,22nya,dua-duanya
7706,slah,salah
7707,ngatain,mengatai
7708,apalai,apalagi
7709,yg,yang
7710,dikata2in,dikata-katai
7711,keliatan,kelihatan
7712,klo,kalo
7713,emang,memang
7714,ngapain,mengapai
7715,cmpur,campur
7716,org,orang
7717,bkal,bakal
7718,pny,punya
7719,saat2,saat-saat
7720,spt,seperti
7721,akn,akan
7722,dtg,datang
7723,pd,pada
7724,ank,anak
7725,ntar,entar
7726,jg,juga
7727,bkal,bakal
7728,jd,jadi
7729,org,orang
7730,hrs,harus
7731,nyadar,menyadari
7732,ank,anak
7733,yg,yang
7734,gk,enggak
7735,apa2,apa-apa
7736,ngapain,mengapa
7737,ngomong,mengomong
7738,ngeluarin,mengeluarkan
7739,kta,kata
7740,yg,yang
7741,gk,enggak
7742,utk,untuk
7743,ank,anak
7744,dmn,dimana
7745,yg,yang
7746,knp,kenapa
7747,br,baru
7748,nyadar,sadar
7749,bka,buka
7750,jgn,jangan
7751,ska,suka
7752,sotoy,sok tau
7753,sma,sama
7754,rmh,rumah
7755,org,orang
7756,pny,punya
7757,aja,saja
7758,berani2,berani-berani
7759,ngatain,mengatai
7760,ank,anak
7761,sprt,seperti
7762,yg,yang
7763,gk,enggak
7764,apa2,apa-apa
7765,gk,enggak
7766,sma,sama
7767,gk,enggak
7768,ngaca,mengaca
7769,sm,sama
7770,utk,untuk
7771,mo,mau
7772,yaa,ya
7773,lucuuuuu,lucu
7774,pngn,pengin
7775,pipi'y,pipinya
7776,gemmeeezzz,gemas
7777,cantiikk,cantik
7778,sukam,suka
7779,ngga,enggak
7780,sm,sama
7781,yach,ya
7782,ngga,enggak
7783,ngga,enggak
7784,sm,sama
7785,wkt,waktu
7786,udah,sudah
7787,ga,enggak
7788,makasih,terima kasih
7789,klau,kalau
7790,pakek,pakai
7791,mba,mbak
7792,lbh,lebih
7793,liat,lihat
7794,manisss,manis
7795,mngkin,mungkin
7796,menghilangkn,menghilangkan
7797,utk,untuk
7798,yg,yang
7799,gak,enggak
7800,pede,percaya diri
7801,karna,karena
7802,utk,untuk
7803,kk,kakak
7804,trasa,terasa
7805,minpi,mimpi
7806,bner2,benar-benar
7807,gak,enggak
7808,nyangka,menyangka
7809,gak,enggak
7810,mnjdkan,menjadikan
7811,jd,jadi
7812,ak,aku
7813,gak,enggak
7814,mudah2n,mudah-mudahan
7815,seneng,senang
7816,baju2,baju-baju
7817,seneng,senang
7818,dapet,dapat
7819,pake,pakai
7820,ga,enggak
7821,tp,tapi
7822,stlh,setelah
7823,soalx,soalnya
7824,smpt,sempat
7825,liat,lihat
7826,ka,kak
7827,makasih,terima kasih
7828,udah,sudah
7829,rekomendasiin,merekomendasikan
7830,aja,saja
7831,ka,kak
7832,aja,saja
7833,ka,kak
7834,skrng,sekarang
7835,gak,enggak
7836,pake,pakai
7837,jd,jadi
7838,gara2,gara-gara
7839,yg,yang
7840,rekomendasiin,merekomendasikan
7841,mksh,terima kasih
7842,yah,ya
7843,kaka,kakak
7844,saranin,menyarankan
7845,kaka,kakak
7846,yah,ya
7847,udah,sudah
7848,ga,enggak
7849,makasih,terima kasih
7850,ngerasa,merasa
7851,laen,lain
7852,keche,kece
7853,badaii,badai
7854,aj,saja
7855,udah,sudah
7856,pake,pakai
7857,smoga,semoga
7858,mnjadi,menjadi
7859,emg,memang
7860,smua,semua
7861,btuh,butuh
7862,yg,yang
7863,pnting,penting
7864,yg,yang
7865,ktanya,katanya
7866,aja,saja
7867,msh,masih
7868,bebrp,beberapa
7869,sblum,sebelum
7870,santab,santap
7871,d,di
7872,dlm,dalam
7873,salehah,salihah
7874,mikirin,memikirkan
7875,kk,kakak
7876,rb,ribu
7877,jt,juta
7878,subhannallah,subhanallah
7879,lht,lihat
7880,klu,kalau
7881,cantiq,cantik
7882,karna,karena
7883,yu,yuk
7884,yu,yuk
7885,konsul,konsultasi
7886,pengalam,pengalaman
7887,ga,enggak
7888,drpd,daripada
7889,hrs,harus
7890,smangat,semangat
7891,slalu,selalu
7892,yg,yang
7893,tuk,untuk
7894,yg,yang
7895,poko,pokok
7896,ny,nya
7897,bner,benar
7898,bner,benar
7899,udah,sudah
7900,bnget,banget
7901,udah,sudah
7902,trun,turun
7903,poko,pokok
7904,mantepp,mantap
7905,dehh,deh
7906,lbh,lebih
7907,kuninggg,kuning
7908,pinkkkk,pink
7909,bs,bisa
7910,d,di
7911,dg,dengan
7912,warnany,warnanya
7913,ajaa,saja
7914,aja,saja
7915,seger,segar
7916,klo,kalo
7917,bwt,buat
7918,mkn,makin
7919,senangat,semangat
7920,msknya,masaknya
7921,kerennnn,keren
7922,yg,yang
7923,ciptain,ciptakan
7924,sma,sama
7925,ngasih,mengasih
7926,say,sayang
7927,bkan,bukan
7928,inget,ingat
7929,deket,dekat
7930,bagussss,bagus
7931,yg,yang
7932,abis,habis
7933,liat,lihat
7934,makasih,terima kasih
7935,sayangkuh,sayangku
7936,gans,ganteng
7937,kren,keren
7938,babget,banget
7939,banger,banget
7940,salfok,salah fokus
7941,ama,sama
7942,org,orang
7943,yg,yang
7944,dihh,dih
7945,salfok,salah fokus
7946,aja,saja
7947,jadu,jadi
7948,nggak,enggak
7949,heii,hai
7950,kamuu,kamu
7951,ksyngn,kesayangan
7952,gw,gue
7953,gk,enggak
7954,haru,harus
7955,ngapain,mengapai
7956,gw,gue
7957,cma,cuma
7958,pengen,pengin
7959,ngingetin,mengingatkan
7960,sma,sama
7961,bngt,banget
7962,syang,sayang
7963,gw,gue
7964,udh,sudah
7965,th,tahun
7966,udh,sudah
7967,gw,gue
7968,yg,yang
7969,gk,enggak
7970,gw,gue
7971,narik,menarik
7972,gw,gue
7973,liat,lihat
7974,bngt,banget
7975,yg,yang
7976,kmu,kamu
7977,"orang""",orang-orang
7978,yg,yang
7979,pengen,pengin
7980,kmu,kamu
7981,gw,gue
7982,gk,enggak
7983,ngapain,mengapai
7984,syng,sayang
7985,nyanyiin,menyanyikan
7986,tuhh,tuh
7987,amatt,amat
7988,ngk,enggak
7989,gt,begitu
7990,tetep,tetap
7991,gokilll,gila
7992,gantenggg,ganteng
7993,astagaaaa,astaga
7994,hancuuuuuy,hancur
7995,mattihhh,mati
7996,aja,saja
7997,kaka,kakak
7998,kaka,kakak
7999,pake,pakai
8000,gak,enggak
8001,nyesel,menyesal
8002,ka,kak
8003,beudd,banget
8004,termiribkan,termiripkan
8005,utk,untuk
8006,u,lu
8007,ga,enggak
8008,cb,coba
8009,dlu,dulu
8010,dngerin,mendengarkan
8011,brrti,berarti
8012,dngerin,mendengarkan
8013,wenakk,enak
8014,gimana,bagaimana
8015,tetep,tetap
8016,nganteng,ganteng
8017,abanggg,abang
8018,seksii,seksi
8019,gtuh,begitu
8020,jadii,jadi
8021,emeezzz,gemas
8022,ama,sama
8023,amohhh,kamu
8024,maau,mau
8025,eyke,aku
8026,gilakkkkk,gila
8027,awk,awak
8028,duhhhhh,duh
8029,wowww,wow
8030,kerennn,keren
8031,kaka,kakak
8032,liaatt,lihat
8033,iniiiii,ini
8034,aloh,allah
8035,bnget,banget
8036,ngettt,banget
8037,bangeett,banget
8038,bgt,banget
8039,mirippp,mirip
8040,mukax,mukanya
8041,"sama""",sama-sama
8042,mba,mbak
8043,msh,masih
8044,aja,saja
8045,kyak,kayak
8046,maso,masa
8047,dpn,depan
8048,ngeliatnya,melihatnya
8049,skli,sekali
8050,kk,kakak
8051,kk,kakak
8052,gk,enggak
8053,brubah,berubah
8054,udah,sudah
8055,y,ya
8056,pelastik,plastik
8057,keak,kayak
8058,y,ya
8059,bg,bang
8060,dengerin,dengarkan
8061,liatnya,lihatnya
8062,beud,banget
8063,pahamin,pahami
8064,cntk,cantik
8065,makasih,terima kasih
8066,emg,memang
8067,gitu,begitu
8068,lg,lagi
8069,aja,saja
8070,liatnya,lihatnya
8071,ky,kaya
8072,gini,begini
8073,yah,ya
8074,takuuuuut,takut
8075,ahahahanjirrr,anjir
8076,dasyat,dahsyat
8077,jogetin,berjoget
8078,shaay,say
8079,boker,berak
8080,boker,berak
8081,gk,enggak
8082,yg,yang
8083,lbih,lebih
8084,ga,enggak
8085,nyangka,menyangka
8086,beneran,benaran
8087,hub,hubungi
8088,gitu,begitu
8089,gk,enggak
8090,nyambung,menyambung
8091,pacarnyaa,pacarnya
8092,siapaa,siapa
8093,inii,ini
8094,matii,mati
8095,ketawaa,ketawa
8096,klo,kalo
8097,nda,indak
8098,nda,indak
8099,d,di
8100,sdh,sudah
8101,makasih,terima kasih
8102,njir,anjir
8103,ngakak,mengakak
8104,taekk,tahi
8105,wanjiir,anjir
8106,ni,ini
8107,dmna,dimana
8108,mw,mau
8109,jg,juga
8110,trus,terus
8111,bw,bawa
8112,pengen,pengin
8113,dh,deh
8114,pingin,pengin
8115,jgn,jangan
8116,mauuuuu,mau
8117,minta,meminta
8118,mauuu,mau
8119,leh,boleh
8120,bnran,benaran
8121,tp,tapi
8122,g,enggak
8123,kk,kakak
8124,kk,kakak
8125,y,ya
8126,smua,semua
8127,kk,kakak
8128,tu,itu
8129,sgla,segala
8130,uitnya,duitnya
8131,k,kak
8132,kmrn,kemarin
8133,beliiin,belikan
8134,yaaah,ya
8135,macem2,macam-macam
8136,lucuuuu,lucu
8137,beliin,belikan
8138,sm,sama
8139,yg,yang
8140,tetep,tetap
8141,emang,memang
8142,emang,memang
8143,sampe,sampai
8144,ga,enggak
8145,nyangka,menyangka
8146,sekaeang,sekarang
8147,udah,sudah
8148,buktiin,membuktikan
8149,yg,yang
8150,ngebuktiin,membuktikan
8151,bgt,banget
8152,liat,lihat
8153,kyk,kayak
8154,gini,begini
8155,itungan,hitungan
8156,aja,saja
8157,tgk,tengok
8158,mo,mau
8159,tgk,tengok
8160,gak,enggak
8161,nyangka,menyangka
8162,kageet,kaget
8163,makasi,terima kasih
8164,say,sayang
8165,sma,sama
8166,ga,enggak
8167,ilang2,hilang-hilang
8168,bkn,bikin
8169,ga,enggak
8170,jga,juga
8171,bgt,banget
8172,yu,yuk
8173,tanyain,tanyakan
8174,mslh,masalah
8175,kmi,kami
8176,kepoin,kepoi
8177,ga,enggak
8178,nyoba,mencoba
8179,wihh,wih
8180,beneran,benaran
8181,yah,ya
8182,yu,yuk
8183,aja,saja
8184,aja,saja
8185,hub,hubungi
8186,yu,yuk
8187,aja,saja
8188,aja,saja
8189,hub,hubungi
8190,yu,yuk
8191,aja,saja
8192,aja,saja
8193,hub,hubungi
8194,bgt,banget
8195,ga,enggak
8196,yg,yang
8197,"artis""",artis-artis
8198,klu,kalau
8199,jatuhnyaa,jatuhnya
8200,kka,kakak
8201,kk,kakak
8202,gini,begini
8203,gak,enggak
8204,kerjaan,pekerjaan
8205,tambahin,tambahkan
8206,aja,saja
8207,banyakin,membanyaki
8208,udah,sudah
8209,elo,lo
8210,aja,saja
8211,gak,enggak
8212,emang,memang
8213,nambah,bertambah
8214,aja,saja
8215,yg,yang
8216,tipu2nya,tipu-tipunya
8217,doaang,doang
8218,yaa,ya
8219,dech,deh
8220,baget,banget
8221,bat,banget
8222,kk,kakak
8223,gini,begini
8224,ny,nya
8225,gituan,begituan
8226,lucuuu,lucu
8227,tpii,tapi
8228,ap,apa
8229,bgt,banget
8230,lucuu,lucu
8231,kaj,kak
8232,lcu,lucu
8233,bngt,banget
8234,ap,apa
8235,tu,itu
8236,ajah,saja
8237,wahhhhhh,wah
8238,bngt,banget
8239,bingittzz,banget
8240,kl,kalo
8241,bgt,banget
8242,lucuuu,lucu
8243,lucuu,lucu
8244,iiiiiiiii,ih
8245,lucuuu,lucu
8246,kaliiiiiii,kali
8247,ihhh,ih
8248,cantikkkk,cantik
8249,cantikkkk,cantik
8250,melebihin,melebihi
8251,apaa,apa
8252,pengen,pengin
8253,pengen,pengin
8254,gakpapa,enggak apa-apa
8255,kalogak,kalo enggak
8256,gak,enggak
8257,kaka,kakak
