,slang,formal
1895,ga,enggak
1896,akn,akan
1897,hilangv,hilang
1898,bungggg,bung
1899,bangg,bang
1900,gapap,enggak apa-apa
1901,klo,kalo
1902,keliatan,kelihatan
1903,kyak,kayak
1904,yg,yang
1905,pling,paling
1906,byk,banyak
1907,gokiiill,gila
1908,ngak,enggak
1909,apa2,apa-apa
1910,jdi,jadi
1911,kya,kaya
1912,org,orang
1913,busedh,buset
1914,gokilnya,gilanya
1915,sma,sama
1916,duluuu,dulu
1917,keceee,kece
1918,nyaa,nya
1919,klu,kalau
1920,gilaa,gila
1921,gak,enggak
1922,ahhhh,ah
1923,w,gue
1924,duuhhh,duh
1925,tetep,tetap
1926,aq,aku
1927,amiiiiinnnnn,amin
1928,dg,dengan
1929,tullus,tulus
1930,tw,tau
1931,pluk,peluk
1932,durhaka2,durhaka-durhaka
1933,y,ya
1934,gk,enggak
1935,ngomong,mengomong
1936,kmu,kamu
1937,udh,sudah
1938,ttp,tetap
1939,kpada,kepada
1940,"seburuk""",seburuk-buruk
1941,ortu,orang tua
1942,kta,kata
1943,dy,dia
1944,ktaa,kita
1945,dy,dia
1946,yup,ya
1947,tdk,tidak
1948,mb,mbak
1949,tetaplaah,tetaplah
1950,q,aku
1951,baek,baik
1952,ajja,saja
1953,dech,deh
1954,baek,baik
1955,oprasi,operasi
1956,aj,saja
1957,gya,gaya
1958,sm,sama
1959,ny,nya
1960,kndung,kandung
1961,ehh,eh
1962,sbg,sebagai
1963,klo,kalo
1964,bkn,bukan
1965,u,untuk
1966,smua,semua
1967,ksenangan,kesenangan
1968,yg,yang
1969,ddpt,didapat
1970,skrang,sekarang
1971,jwab,jawab
1972,sbg,sebagai
1973,km,kamu
1974,sk,suka
1975,mmbodohkan,membodohkan
1976,orlaen,orang lain
1977,bgtu,begitu
1978,sbg,sebagai
1979,jgn,jangan
1980,bgtu,begitu
1981,skrg,sekarang
1982,drpd,daripada
1983,spt,seperti
1984,elo,lo
1985,malem,malam
1986,gk,enggak
1987,ngerti,mengerti
1988,aplikasiin,mengaplikasikan
1989,bgtu,begitu
1990,berangat,berangkat
1991,praktekin,mempraktikkan
1992,dahh,dah
1993,ntar,entar
1994,gmn,bagaimana
1995,omdo,omong doang
1996,bgini,begini
1997,kate,kata
1998,gada,enggak ada
1999,cabe2,cabe-cabe
2000,klo,kalo
2001,prjuangan,perjuangan
2002,dg,dengan
2003,kmewahan,kemewahan
2004,stimpal,setimpal
2005,dg,dengan
2006,kmewahan,kemewahan
2007,yg,yang
2008,ddpat,didapat
2009,klo,kalo
2010,bkn,bukan
2011,sprt,seperti
2012,skrang,sekarang
2013,km,kamu
2014,jgn,jangan
2015,aj,saja
2016,bc,baca
2017,mnilai,menilai
2018,km,kamu
2019,kata2,kata-kata
2020,za,saja
2021,gak,enggak
2022,pake,pakai
2023,pake,pakai
2024,w,gue
2025,gak,enggak
2026,udahh,sudah
2027,gak,enggak
2028,usahh,usah
2029,omdo,omong doang
2030,za,saja
2031,segala2nya,segala-galanya
2032,sekarng,sekarang
2033,skrg,sekarang
2034,sprti,seperti
2035,skrg,sekarang
2036,sampe,sampai
2037,masing2,masing-masing
2038,jgn,jangan
2039,sampe,sampai
2040,mkanya,makanya
2041,jgn,jangan
2042,dlu,dulu
2043,sblm,sebelum
2044,hay,hai
2045,mreka,mereka
2046,bhagia,bahagia
2047,km,kamu
2048,aja,saja
2049,yg,yang
2050,korek2,korek-korek
2051,org,orang
2052,pngen,pengin
2053,ngebales,membalas
2054,krna,karena
2055,w,gue
2056,sihh,sih
2057,gak,enggak
2058,ngomong,mengomong
2059,udahh,sudah
2060,males,malas
2061,w,gue
2062,sasama,sesama
2063,ga,enggak
2064,klo,kalo
2065,dahh,dah
2066,elo,lo
2067,dehh,deh
2068,cabe2an,cabe-cabean
2069,terong2an,terong-terongan
2070,seklian,sekalian
2071,kluar,keluar
2072,tuuu,itu
2073,jgn,jangan
2074,ngurusan,mengurusi
2075,org,orang
2076,ngaca,mengaca
2077,donk,dong
2078,campurin,mencampuri
2079,emnknya,memangnya
2080,py,punya
2081,kaka,kakak
2082,unyuu,unyu
2083,dy,dia
2084,bkn,bukan
2085,tp,tapi
2086,kndung,kandung
2087,klo,kalo
2088,mrangkul,merangkul
2089,adlh,adalah
2090,knpa,kenapa
2091,klo,kalo
2092,g,enggak
2093,wlo,walau
2094,bnyak,banyak
2095,yg,yang
2096,sperti,seperti
2097,lh,lah
2098,manusiy,manusia
2099,tx,tak
2100,dr,dari
2101,samara,sakinah mawadah rahman
2102,aamiin,amin
2103,klw,kalau
2104,liat,lihat
2105,teringt,teringat
2106,trmsuk,termasuk
2107,ank,anak
2108,yg,yang
2109,dn,dan
2110,pilihnmu,pilihanmu
2111,swmntara,sementara
2112,trmasuk,termasuk
2113,gak,enggak
2114,dlm,dalam
2115,orang2,orang-orang
2116,yg,yang
2117,sgt,sangat
2118,liht,lihat
2119,aj,saja
2120,y,ya
2121,klo,kalo
2122,suaminy,suaminya
2123,skrg,sekarang
2124,msh,masih
2125,kn,kan
2126,sm,sama
2127,jadulnya,jaman dulunya
2128,mantaff,mantap
2129,klo,kalo
2130,yg,yang
2131,ngata2in,mengata-ngatai
2132,g,enggak
2133,jgn,jangan
2134,bagaimna,bagaimana
2135,tpi,tapi
2136,mulusssss,mulus
2137,bgus,bagus
2138,bkn,bukan
2139,gmana,bagaimana
2140,kpleset,kepleset
2141,yawlah,ya allah
2142,bgt,banget
2143,ntr,entar
2144,lgsg,langsung
2145,kepeleset,kepleset
2146,engga,enggak
2147,kayanye,kayanya
2148,amiinnnn,amin
2149,klo,kalo
2150,gn,begini
2151,ngakak,mengakak
2152,komen2an,komen-komenan
2153,wewww,wow
2154,dumsss,dong
2155,tar,entar
2156,keq,kayak
2157,gini,begini
2158,amiin,amin
2159,perbaikin,memperbaiki
2160,trus,terus
2161,permasalhkan,permasalahkan
2162,bener2,benar-benar
2163,ga,enggak
